pcut_position,psvol_position,label
-881119,18397,1
-881117,18405,1
-881114,18414,1
-881112,18422,1
-881109,18430,1
-881107,18438,1
-881104,18446,1
-881101,18454,1
-881098,18462,1
-881095,18470,1
-881092,18478,1
-881089,18486,1
-881086,18495,1
-881082,18503,1
-881079,18511,1
-881075,18519,1
-881071,18527,1
-881068,18535,1
-881064,18543,1
-881060,18551,1
-881056,18559,1
-881051,18568,1
-881047,18576,1
-881043,18584,1
-881038,18592,1
-881034,18600,1
-881029,18608,1
-881024,18616,1
-881020,18624,1
-881015,18632,1
-881010,18641,1
-881004,18649,1
-880999,18657,1
-880994,18665,1
-880988,18673,1
-880983,18681,1
-880977,18689,1
-880972,18697,1
-880966,18705,1
-880960,18713,1
-880954,18722,1
-880948,18730,1
-880942,18738,1
-880935,18746,1
-880929,18754,1
-880922,18762,1
-880916,18770,1
-880909,18778,1
-880902,18786,1
-880896,18794,1
-880889,18803,1
-880882,18811,1
-880874,18819,1
-880867,18827,1
-880860,18835,1
-880852,18843,1
-880845,18851,1
-880837,18859,1
-880830,18867,1
-880822,18875,1
-880814,18883,1
-880806,18892,1
-880798,18900,1
-880790,18908,1
-880781,18916,1
-880773,18924,1
-880765,18932,1
-880756,18940,1
-880747,18948,1
-880739,18956,1
-880730,18965,1
-880721,18973,1
-880712,18981,1
-880703,18989,1
-880694,18997,1
-880685,19005,1
-880675,19013,1
-880666,19021,1
-880656,19030,1
-880647,19038,1
-880637,19046,1
-880627,19054,1
-880617,19062,1
-880608,19070,1
-880598,19078,1
-880587,19086,1
-880577,19094,1
-880567,19102,1
-880557,19110,1
-880546,19119,1
-880536,19127,1
-880525,19135,1
-880514,19143,1
-880504,19151,1
-880493,19159,1
-880482,19167,1
-880471,19175,1
-880460,19183,1
-880449,19192,1
-880438,19200,1
-880426,19208,1
-880415,19216,1
-880403,19224,1
-880392,19232,1
-880380,19240,1
-880369,19248,1
-880357,19256,1
-880345,19264,1
-880333,19273,1
-880321,19281,1
-880309,19289,1
-880297,19297,1
-880285,19305,1
-880273,19313,1
-880261,19321,1
-880248,19329,1
-880236,19337,1
-880224,19345,1
-880211,19354,1
-880198,19362,1
-880186,19370,1
-880173,19378,1
-880160,19386,1
-880148,19394,1
-880135,19402,1
-880122,19410,1
-880109,19418,1
-880096,19427,1
-880083,19435,1
-880069,19443,1
-880056,19451,1
-880043,19459,1
-880030,19467,1
-880016,19475,1
-880003,19483,1
-879990,19491,1
-879976,19499,1
-879962,19508,1
-879949,19516,1
-879935,19524,1
-879922,19532,1
-879908,19540,1
-879894,19548,1
-879880,19556,1
-879866,19564,1
-879853,19572,1
-879839,19581,1
-879825,19589,1
-879811,19597,1
-879797,19605,1
-879783,19613,1
-879769,19621,1
-879755,19629,1
-879741,19637,1
-879727,19645,1
-879713,19653,1
-879699,19661,1
-879685,19669,1
-879671,19677,1
-879657,19685,1
-879642,19693,1
